Entity Name,Status,Module,Priority,Key Fields,FK Relationships,Implementation Notes
Users,EXISTS,M1,HIGH,"id, email, username, status, created_at","",Core authentication entity
Workspace,MISSING,M2,CRITICAL,"workspace_id, name, owner_id, status","owner_id → Users","Multi-tenancy container - REQUIRED for MVP"
WorkspaceMember,MISSING,M2,CRITICAL,"workspace_member_id, workspace_id, user_id, role","workspace_id, user_id","User-workspace association - REQUIRED for MVP"
Project,EXISTS,M3,HIGH,"project_id, workspace_id, name, status, owner_id","workspace_id, owner_id → Users","Needs completion: add governance_mode, visibility"
ProjectMember,EXISTS,M3,HIGH,"project_member_id, project_id, user_id, role","project_id, user_id","Exists but needs comprehensive fields"
ProjectTemplate,MISSING,M3,MEDIUM,"template_id, workspace_id, name, is_global","workspace_id","For project reusability"
ProjectTagMap,MISSING,M3,HIGH,"project_id, tag_id","project_id → Project, tag_id → Tag","Many-to-many junction - needed for categorization"
Tag,MISSING,M2/M4,CRITICAL,"tag_id, workspace_id, name, color_code","workspace_id","Cross-entity tagging system - REQUIRED"
Task,EXISTS,M4,HIGH,"task_id, project_id, task_list_id, title, status, priority","project_id, task_list_id, created_by → Users","Needs all fields from Task.md"
TaskList,MISSING,M4,CRITICAL,"task_list_id, project_id, name, position","project_id","WBS structure - REQUIRED for MVP"
Subtask,MISSING,M4,HIGH,"subtask_id, task_id, title, is_done, assignee_id","task_id, assignee_id → Users","Task decomposition - High priority"
TaskAssignee,MISSING,M4,CRITICAL,"task_assignee_id, task_id, user_id, is_primary","task_id, user_id","Supports multiple assignees - REQUIRED"
TaskDependency,MISSING,M4,HIGH,"dependency_id, predecessor_task_id, successor_task_id, dependency_type","predecessor/successor → Task","Task relationships - High priority"
TaskTagMap,MISSING,M4,HIGH,"task_id, tag_id","task_id → Task, tag_id → Tag","Many-to-many task tagging"
TaskWatcher,MISSING,M4,MEDIUM,"watcher_id, task_id, user_id","task_id, user_id","Follow mechanism"
TaskTemplate,MISSING,M4,MEDIUM,"template_id, project_id, name, definition (jsonb)","project_id","Reusable task definitions"
TaskCustomField,MISSING,M4,MEDIUM,"field_id, project_id, name, data_type, options (jsonb)","project_id","Custom attributes per project"
TaskCustomFieldValue,MISSING,M4,MEDIUM,"value_id, task_id, field_id, value","task_id, field_id","Custom field values"
TaskRecurringRule,MISSING,M4,MEDIUM,"recurrence_id, task_id, pattern, config (jsonb), next_run_at","task_id","Recurring task definition"
Note,EXISTS,M6,HIGH,"note_id, project_id, parent_note_id, title, content, status","project_id, parent_note_id, author_id → Users","Needs: content, status, is_public fields"
Comment,MISSING,M6,CRITICAL,"comment_id, task_id, parent_comment_id, content, author_id","task_id, parent_comment_id, author_id → Users","Discussion threads - REQUIRED for MVP"
Mention,MISSING,M6,HIGH,"mention_id, comment_id, user_id, actor_id","comment_id, user_id, actor_id → Users","User mentions in comments"
File,MISSING,M6,CRITICAL,"file_id, task_id, filename, mime_type, size, current_version","task_id, uploaded_by → Users","Asset management - REQUIRED"
FileVersion,MISSING,M6,MEDIUM,"version_id, file_id, version_number, checksum, storage_path","file_id","File version control"
NoteVersion,MISSING,M6,MEDIUM,"version_id, note_id, content_snapshot","note_id, created_by → Users","Note version history"
Backlink,MISSING,M6,MEDIUM,"backlink_id, source_type, source_id, target_note_id","target_note_id → Note","Note cross-references"
PublicNoteLink,MISSING,M6,LOW,"public_id, note_id, slug, password_hash, expired_at","note_id","Public note sharing"
ApprovalRequest,MISSING,M6,HIGH,"approval_id, target_type, target_id, status, requested_by","requested_by → Users","Approval workflow"
TimeEntry,MISSING,M5,CRITICAL,"time_entry_id, user_id, task_id, start_time, end_time, duration_minutes","user_id, task_id","Time tracking - REQUIRED"
Timesheet,MISSING,M5,MEDIUM,"timesheet_id, user_id, period_start, period_end, total_hours, status","user_id","Timesheet aggregation"
TimesheetEntry,MISSING,M5,MEDIUM,"entry_id, timesheet_id, task_id, date, hours","timesheet_id, task_id","Timesheet line items"
TimesheetApproval,MISSING,M5,MEDIUM,"approval_id, timesheet_id, approver_id, status","timesheet_id, approver_id → Users","Approval workflow"
Notification,MISSING,M7,CRITICAL,"notification_id, user_id, event_id, title, content, priority, is_read","user_id, event_id","User notifications - REQUIRED"
NotificationPreference,MISSING,M7,CRITICAL,"preference_id, user_id, channel, event_type, enabled","user_id","Notification settings - REQUIRED"
NotificationTemplate,MISSING,M7,MEDIUM,"template_id, event_type, subject, body, variables (jsonb)","","Notification templates"
NotificationItem,MISSING,M7,MEDIUM,"item_id, notification_id, recipient_id, status, sent_at","notification_id","Notification delivery"
NotificationDigest,MISSING,M7,LOW,"digest_id, user_id, period, items (jsonb), sent_at","user_id","Digest notifications"
NotificationInteraction,MISSING,M7,LOW,"interaction_id, notification_id, action, created_at","notification_id","User interactions with notifications"
DomainEvent,MISSING,M7,MEDIUM,"event_id, aggregate_type, aggregate_id, event_type, payload (jsonb)","","Event sourcing"
UserSettings,MISSING,M9,CRITICAL,"id, user_id, language, theme_mode, base_font_size, font_family, density_mode, color_blind_mode","user_id","User preferences - REQUIRED"
DashboardLayouts,MISSING,M9,CRITICAL,"id, user_id, workspace_id, layout_schema (jsonb), is_active","user_id, workspace_id","Dashboard customization - REQUIRED"
UIViewPreference,MISSING,M9,HIGH,"id, user_id, entity_type, view_mode, sort_by, filter_schema (jsonb)","user_id","View preferences"
UserWidget,MISSING,M9,MEDIUM,"id, user_id, widget_id, position, size, is_visible, collapsed","user_id","Widget configuration"
PersonaProfile,MISSING,M9,LOW,"persona_id, user_id, role_type, preferences (jsonb)","user_id","User persona"
UserChecklistProgress,MISSING,M9,LOW,"progress_id, user_id, checklist_id, completed_items","user_id, checklist_id","Onboarding progress"
WebhookEndpoint,MISSING,M12,CRITICAL,"webhook_id, workspace_id, target_url, secret_key, is_active","workspace_id","Webhook configuration - REQUIRED"
WebhookEvent,MISSING,M12,MEDIUM,"event_id, webhook_id, entity_type, event_type, payload (jsonb), triggered_at","webhook_id","Webhook events"
WebhookDelivery,MISSING,M12,MEDIUM,"delivery_id, event_id, status, attempted_at, response_status","event_id","Delivery tracking"
IntegrationBinding,MISSING,M12,MEDIUM,"binding_id, workspace_id, integration_type, config (jsonb), is_active","workspace_id","Third-party integrations"
OAuthConnection,MISSING,M12,MEDIUM,"connection_id, user_id, provider, access_token, refresh_token, expires_at","user_id","OAuth connections"
OAuthApp,MISSING,M12,MEDIUM,"app_id, name, client_id, client_secret, redirect_uris (jsonb)","","OAuth app config"
ApiToken,MISSING,M12,MEDIUM,"token_id, user_id, token_hash, scope, expires_at","user_id","API authentication"
ApiScope,MISSING,M12,LOW,"scope_id, name, description","","API permission scopes"
AuditLog,MISSING,M1,HIGH,"audit_id, user_id, action, entity_type, entity_id, ip_address, created_at","user_id","Action tracking - High priority"
UserAuth,MISSING,M1,MEDIUM,"auth_id, user_id, auth_method, provider, external_id","user_id","Authentication methods"
UserRole,MISSING,M1,MEDIUM,"user_id, role_id, assigned_at","user_id, role_id","User roles"
Session,MISSING,M1,MEDIUM,"session_id, user_id, token_hash, expires_at","user_id","Session management"
